,Q.no.,topics,questions,answers
20,21,Statistics ,What Are Confounding Variables?,"In statistics, a confounder is a variable that influences both the dependent variable and independent variable.  For example, if you are researching whether a lack of exercise leads to weight gain,  lack of exercise = independent variable  weight gain = dependent variable.  A confounding variable here would be any other variable that affects both of these variables, such as the age of the subject. "
21,22,Statistics,What Are the Types of Biases That Can Occur During Sampling?,Selection bias  Under coverage bias  Survivorship bias
22,23,Statistics, What is Survivorship Bias?,It is the logical error of focusing aspects that support surviving some process and casually overlooking those that did not work because of their lack of prominence. This can lead to wrong conclusions in numerous different means.
23,24,Statistics ,What is selection Bias?,Selection bias occurs when the sample obtained is not representative of the population intended to be analysed.
24,25,Statistics ,Explain how a ROC curve works?,Theï¿½ROCï¿½curve is a graphical representation of the contrast between true positive rates and false-positive rates at various thresholds. It is often used as a proxy for the trade-off between the sensitivity(true positive rate) and false-positive rate.
25,26,Statistics , What is TF/IDF vectorization?,"TFï¿½IDF is short for term frequency-inverse document frequency, is a numerical statistic that is intended to reflect how important a word is to a document in a collection or corpus. It is often used as a weighting factor in information retrieval and text mining.  The TFï¿½IDF value increases proportionally to the number of times a word appears in the document but is offset by the frequency of the word in the corpus, which helps to adjust for the fact that some words appear more frequently in general. "
26,27,Statistics,Why we generally use Softmax non-linearity function as last operation in-network?," It is because it takes in a vector of real numbers and returns a probability distribution. Its definition is as follows. Let x be a vector of real numbers (positive, negative, whatever, there are no constraints). "
27,28,Data Analytics,Python or R ï¿½ Which one would you prefer for text analytics?,"Python would be the best option because it has Pandas library that provides easy to use data structures and high-performance data analysis tools.

R is more suitable for machine learning than just text analysis.

Python performs faster for all types of text analytics."
28,29,Data Analytics, How does data cleaning plays a vital role in the analysis?,"Cleaning data from multiple sources helps to transform it into a format that data analysts or data scientists can work with.

Data Cleaning helps to increase the accuracy of the model in machine learning.

It is a cumbersome process because as the number of data sources increases, the time taken to clean the data increases exponentially due to the number of sources and the volume of data generated by these sources.

It might take up to 80% of the time for just cleaning data making it a critical part of the analysis task."
29,30,Data Analytics," Differentiate between univariate, bivariate and multivariate analysis.","Univariateï¿½analysesï¿½are descriptive statistical analysis techniques which can be differentiated based on the number of variables involved at a given point of time. For example, the pie charts of sales based on territory involve only one variable and can the analysis can be referred to as univariate analysis."
30,31,Data Analytics,Explain Star Sschema,"It is a traditional database schema with a central table. Satellite tables map IDs to physical names or descriptions and can be connected to the central fact table using the ID fields; these tables are known as lookup tables and are principally useful in real-time applications, as they save a lot of memory. Sometimes star schemas involve several layers of summarization to recover information faster."
31,32,Data Analytics,What is Cluster Sampling?,Cluster samplingï¿½is a technique used when it becomes difficult to study the target population spread across a wide area and simple random sampling cannot be applied.ï¿½Cluster Sample is a probability sample where each sampling unit is a collection or cluster of elements.
32,33,Data Analytics,What is Systematic Sampling?,"Systematic samplingï¿½is a statistical technique where elements are selected from an ordered sampling frame. In systematic sampling, the list is progressed in a circular manner so once you reach the end of the list, it is progressed from the top again. The best example of systematic sampling is equal probability method.
"
33,34,Data Analytics, What are Eigenvectors and Eigenvalues?,"Eigenvectorsï¿½are used for understanding linear transformations.ï¿½In data analysis, we usually calculate the eigenvectors for a correlation or covariance matrix.ï¿½Eigenvectors are the directions along which a particular linear transformation acts by flipping, compressing or stretching.

Eigenvalueï¿½can be referred to as the strength of the transformation in the direction of eigenvector or the factor by which the compression occurs.
"
34,35,Data Analytics,Can you cite some examples where a false positive is important than a false negative?,"Let us first understand what false positives and false negatives are.

False Positivesï¿½are the cases where you wrongly classified a non-event as an event a.k.a Type I error.

False Negativesï¿½are the cases where you wrongly classify events as non-events, a.k.a Type II error.

Example 1:ï¿½In the medical field, assume you have to give chemotherapy to patients. Assume a patient comes to that hospital and he is tested positive for cancer, based on the lab prediction but he actually doesnï¿½t have cancer. This is a case of false positive. Here it is of utmost danger to start chemotherapy on this patient when he actually does not have cancer. In the absence of cancerous cell, chemotherapy will do certain damage to his normal healthy cells and might lead to severe diseases, even cancer.

Example 2:ï¿½Letï¿½s say an e-commerce company decided to give $1000 Gift voucher to the customers whom they assume to purchase at least $10,000 worth of items.ï¿½They send free voucher mail directly to 100 customers without any minimum purchase condition because they assume to make at least 20% profit on sold items above $10,000. Now the issue is if we send the $1000 gift vouchers to customers who have not actually purchased anything but are marked as having made $10,000 worth of purchase.
"
35,36,Data Analytics, Can you cite some examples where a false negative important than a false positive?,"Example 1:ï¿½Assume there is an airport ï¿½Aï¿½ which has received high-security threats and based on certain characteristics they identify whether a particular passenger can be a threat or not.ï¿½Due to aï¿½shortage of staff, they decide to scan passengers being predicted as risk positives by their predictive model. What will happen if a true threat customer is being flagged as non-threat by airport model?

Example 2:ï¿½What if Jury or judge decides to make a criminal go free?

Example 3:ï¿½What if you rejected to marry a very good person based on your predictive model and you happen to meet him/her after a few years and realize that you had a false negative?

Q37."
36,37,Data Analytics,Can you cite some examples where both false positive and false negatives are equally important?,"In theï¿½Bankingï¿½industry giving loans is the primary source of making money but at the same time if your repayment rate is not good you will not make any profit, rather you will risk huge losses.

Banks donï¿½t want to lose good customers and at the same point in time, they donï¿½t want to acquire bad customers. In this scenario, both the false positives and false negatives become very important to measure.
"
37,38,Data Analytics, Can you explain the difference between a Validation Set and a Test Set?,"Aï¿½Validationï¿½setï¿½can be considered as a part of the training set as it is used for parameter selection and to avoid overfitting of the model being built.

On the other hand, aï¿½Test Setï¿½is used for testing or evaluating the performance of a trained machine learning model.

In simple terms, the differences can be summarized as; training set is to fit the parameters i.e. weights and test set is to assess the performance of the model i.e. evaluating the predictive power and generalization.
"
38,39,data Analytics,Explain cross validation.,"Cross-validation is a model validation technique for evaluating how the outcomes of statistical analysis will generalize to an independent dataset. Mainly used in backgrounds where the objective is forecast and one wants to estimate how accurately a model will accomplish in practice.
The goal of cross-validation is to term a data set to test the model in the training phase (i.e. validation data set) in order to limit problems like overfitting and get an insight on how the model will generalize to an independent data set."
39,40,MACHINE LEARNING ,What is Machine Learning?,"Machine Learning explores the study and construction of algorithms that can learn from and make predictions on data. Closely related to computational statistics. Used to devise complex models and algorithms that lend themselves to a prediction which in commercial use is known as predictive analytics. Given below, is an image representing the various domains Machine Learning lends itself to."
40,41,MACHINE LEARNING , What is Supervised Learning?,"Supervised learning is the machine learning task of inferring a function from labeled training data. The training data consist of a set of training examples.
Algorithms: Support Vector Machines, Regression, Naive Bayes, Decision Trees, K-nearest Neighbor Algorithm and Neural Networks
E.g. If you built a fruit classifier, the labels will be ?this is an orange, this is an apple and this is a banana?, based on showing the classifier examples of apples, oranges and bananas."
41,42,MACHINE LEARNING ,What is Unsupervised learning?,"Unsupervised learning is a type of machine learning algorithm used to draw inferences from datasets consisting of input data without labelled responses.
Algorithms: Clustering, Anomaly Detection, Neural Networks and Latent Variable Models
E.g. In the same example, a fruit clustering will categorize as ?fruits with soft skin and lots of dimples?, ?fruits with shiny hard skin? and ?elongated yellow fruits?."
42,43,MACHINE LEARNING ,What are the various classification algorithms?,"Classification is a process of categorizing a given set of data into classes, It can be performed on both structured or unstructured data. The process starts with predicting the class of given data points. The classes are often referred to as target, label or categories Top 5 Classification Algorithms in Machine Learning
Logistic Regression.
Naive Bayes.
K-Nearest Neighbors.
Decision Tree.
Support Vector Machines."
43,44,MACHINE LEARNING ,What is ?Naive? in a Naive Bayes?,"The Naive Bayes Algorithm is based on the Bayes Theorem. Bayes? theorem describes the probability of an event, based on prior knowledge of conditions that might be related to the event.

The Algorithm is ?naive? because it makes assumptions that may or may not turn out to be correct."
44,45,MACHINE LEARNING ,Explain SVM algorithm in detail.,"SVM stands for support vector machine, it is a supervised machine learning algorithm which can be used for both Regression and Classification. If you have n features in your training data set, SVM tries to plot it in n-dimensional space with the value of each feature being the value of a particular coordinate. SVM uses hyperplanes to separate out different classes based on the provided kernel function."
45,46,MACHINE LEARNING ,What are the support vectors in SVM?,"?Support Vector Machine? (SVM) is a supervised machine learning algorithm that can be used for both classification or regression challenges. However,  it is mostly used in classification problems. In the SVM algorithm, we plot each data item as a point in n-dimensional space (where n is a number of features you have) with the value of each feature being the value of a particular coordinate. Then, we perform classification by finding the hyper-plane that differentiates the two classes very well (look at the below snapshot)."
46,47,MACHINE LEARNING ,What are the different kernels in SVM?,"There are four types of kernels in SVM.

Linear Kernel

Polynomial kernel

Radial basis kernel

Sigmoid kernel"
47,48,MACHINE LEARNING ,Explain Decision Tree algorithm in detail.,A decision tree is a supervised machine learning algorithm mainly used for Regression and Classification. It breaks down a data set into smaller and smaller subsets while at the same time an associated decision tree is incrementally developed. The final result is a tree with decision nodes and leaf nodes. A decision tree can handle both categorical and numerical data.
48,49,MACHINE LEARNING , What are Entropy and Information gain in Decision tree algorithm?,"The core algorithm for building a decision tree is called ID3. ID3 uses Entropy and Information Gain to construct a decision tree.
Entropy
A decision tree is built top-down from a root node and involve partitioning of data into homogenious subsets. ID3 uses enteropy to check the homogeneity of a sample. If the sample is completely homogenious then entropy is zero and if the sample is an equally divided it has entropy of one.
Information Gain
The Information Gain is based on the decrease in entropy after a dataset is split on an attribute. Constructing a decision tree is all about finding attributes that return the highest information gain."
49,50,machine learning,How will you define the number of clusters in a clustering algorithm?,Clustering Algorithm is not specified this question is mostly in reference to K-Means clustering where ?K? defines the number of clusters. The objective of clustering is to group similar entities in a way that the entities within a group are similar to each other but the groups are different from each other.
50,51,machine learning,What is Ensemble Learning?,Ensemble Learning is basically combining a diverse set of learners(Individual models) together to improvise on the stability and predictive power of the model.
51,52,machine learning,Describe in brief any type of Ensemble Learning?,Ensemble learning has many types but two more popular ensemble learning techniques are mentioned Bagging and Boosting
52,53,machine learning,What is Bagging?,Bagging tries to implement similar learners on small sample populations and then takes a mean of all the predictions. In generalised bagging you can use different learners on different population. As you expect this helps us to reduce the variance error.
53,54,machine learning,What is Boosting?,Boosting is an iterative technique which adjusts the weight of an observation based on the last classification. If an observation was classified incorrectly it tries to increase the weight of this observation and vice versa. Boosting in general decreases the bias error and builds strong predictive models. However they may over fit on the training data.
54,55,machine learning, What is a Random Forest?,Random forest is a versatile machine learning method capable of performing both regression and classification tasks. It is also used for dimensionality reduction- treats missing values- outlier values. It is a type of ensemble learning method where a group of weak models combine to form a powerful model.
55,56,machine learning, How Random Forest Works?,Random Forest we grow multiple trees as opposed to a single tree. To classify a new object based on attributes each tree gives a classification. The forest chooses the classification having the most votes(Overall the trees in the forest) and in case of regression- it takes the average of outputs by different trees.
56,57,machine learning, What is Random Forest Principal?,Build several decision trees on bootstrapped training samples of data.On each tree each time a split is considered a random sample of mm predictors is chosen as split candidates- out of all pp predictors- Rule of thumb: At each split m=pvm=p-Predictions: At the majority rule
57,58,Deep Learning,What is deep Learning,Deep learning is nothing but a paradigm of machine learning which has shown incredible promise in recent years. This is because of the fact that Deep Learning shows a great analogy with the functioning of the human brain.
58,59,Deep Learning,What is the difference between machine learning and deep learning,Machine Learning is 1.Supervised machine learning  2.Unsupervised machine learning  3.Reinforcement learning - where as Deep Learning is a subfield of machine learning concerned with algorithms inspired by the structure and function of the brain called artificial neural networks
59,60,Deep Learning,"What, in your opinion, is the reason for the popularity of Deep Learning in recent times?","Now although Deep Learning has been around for many years, the major breakthroughs from these techniques came just in recent years. This is because of two main reasons: The increase in the amount of data generated through various sources. The growth in hardware resources required to run these models.GPUs are multiple times faster and they help us build bigger and deeper deep learning models in comparatively less time than we required previously."
60,61,deep Learning,What is reinforcement learning?,"Reinforcement Learning is learning what to do and how to map situations to actions. The end result is to maximise the numerical reward signal. The learner is not told which action to take but instead must discover which action will yield the maximum reward. Reinforcement learning is inspired by the learning of human beings, it is based on the reward/penalty mechanism."
61,62,Deep Learning, What are Artificial Neural Networks?,"Artificial Neural Networks works on the same principle as a biological Neural Network. It consists of inputs which get processed with weighted sums and Bias, with the help of Activation Functions."
62,63,Deep Learning, Describe the structure of Artificial Neural Networks?,Artificial Neural networks are a specific set of algorithms that have revolutionized machine learning. They are inspired by biological neural networks. Neural Networks can adapt to changing the input so the network generates the best possible result without needing to redesign the output criteria.
63,64,Deep Learning,How Are Weights Initialized in a Network?,"There are two methods here: we can either initialize the weights to zero or assign them randomly. Initializing all weights to 0: This makes your model similar to a linear model. All the neurons and every layer perform the same operation, giving the same output and making the deep net useless. Initializing all weights randomly: Here, the weights are assigned randomly by initializing them very close to 0. It gives better accuracy to the model since every neuron performs different computations. This is the most commonly used method."
64,65,Machine Learning,What Is the Cost Function?,"Also referred to as ï¿½lossï¿½ or ï¿½error,ï¿½ cost function is a measure to evaluate how good your modelï¿½s performance is. Itï¿½s used to compute the error of the output layer during backpropagation. We push that error backwards through the neural network and use that during the different training functions."
65,66,Machine Learning, What Are Hyperparameters?,"With neural networks, youï¿½re usually working with hyperparameters once the data is formatted correctly. A hyperparameter is a parameter whose value is set before the learning process begins. It determines how a network is trained and the structure of the network (such as the number of hidden units, the learning rate, epochs, etc.)."
66,67,Machine Learning,What Will Happen If the Learning Rate Is Set inaccurately (Too Low or Too High)?,"When your learning rate is too low, training of the model will progress very slowly as we are making minimal updates to the weights. It will take many updates before reaching the minimum point. If the learning rate is set too high, this causes undesirable divergent behaviour to the loss function due to drastic updates in weights. It may fail to converge (model can give a good output) or even diverge (data is too chaotic for the network to train)."
67,68,Deep Learning,"What Is the Difference Between Epoch, Batch, and Iteration in Deep Learning?","Epoch ï¿½ Represents one iteration over the entire dataset (everything put into the training model). Batch ï¿½ Refers to when we cannot pass the entire dataset into the neural network at once, so we divide the dataset into several batches. Iteration ï¿½ if we have 10,000 images as data and a batch size of 200. then an epoch should run 50 iterations (10,000 divided by 50)."
68,69,Deep Learning, What Are the Different Layers on CNN?,"There are four layers in CNN: Convolutional Layer ï¿½  the layer that performs a convolutional operation, creating several smaller picture windows to go over the data. ReLU Layer ï¿½ it brings non-linearity to the network and converts all the negative pixels to zero. The output is a rectified feature map. Pooling Layer ï¿½ pooling is a down-sampling operation that reduces the dimensionality of the feature map. Fully Connected Layer ï¿½ this layer recognizes and classifies the objects in the image."
69,70,Deep Learning,"What Is Pooling on CNN, and How Does It Work?",Pooling is used to reduce the spatial dimensions of a CNN. It performs down-sampling operations to reduce the dimensionality and creates a pooled feature map by sliding a filter matrix over the input matrix.
70,71,Deep Learning,What are Recurrent Neural Networks(RNNs)?,"RNNsï¿½are a type of artificial neural networks designed to recognise the pattern from the sequence of data such as Time series, stock market and government agencies etc. To understand recurrent nets, first, you have to understand the basics of feedforward nets. Both these networks RNN and feed-forward named after the way they channel information through a series of mathematical orations performed at the nodes of the network. One feeds information through straight(never touching the same node twice), while the other cycles it through a loop, and the latter are called recurrent. Recurrent networks, on the other hand, take as their input, not just the current input example they see, but also the what they have perceived previously in time. The decision a recurrent neural network reached at time t-1 affects the decision that it will reach one moment later at time t. So recurrent networks have two sources of input, the present and the recent past, which combine to determine how they respond to new data, much as we do in life. The error they generate will return via backpropagation and be used to adjust their weights until error canï¿½t go any lower. Remember, the purpose of recurrent nets is to accurately classify sequential input. We rely on the backpropagation of error and gradient descent to do so.

"
71,72,NLP, How Does an LSTM Network Work?,"Long-Short-Term Memory (LSTM) is a special kind of recurrent neural network capable of learning long-term dependencies, remembering information for long periods as its default behaviour. There are three steps in an LSTM network: Step 1: The network decides what to forget and what to remember. Step 2: It selectively updates cell state values. Step 3: The network decides what part of the current state makes it to the output."
72,73,NLP,What Is a Multi-layer Perceptron(MLP)?,"As in Neural Networks, MLPs have an input layer, a hidden layer, and an output layer. It has the same structure as a single layer perceptron with one or more hidden layers. A single layer perceptron can classify only linear separable classes with binary output (0,1), but MLP can classify nonlinear classes. Except for the input layer, each node in the other layers uses a nonlinear activation function. This means the input layers, the data coming in, and the activation function is based upon all nodes and weights being added together, producing the output. MLP uses a supervised learning method called ï¿½backpropagation.ï¿½ In backpropagation, the neural network calculates the error with the help of cost function. It propagates this error backward from where it came (adjusts the weights to train the model more accurately)."
73,74,NLP,Explain Gradient Descent.,"To Understand Gradient Descent, Letï¿½s understand what is a Gradient first. A gradient measures how much the output of a function changes if you change the inputs a little bit. It simply measures the change in all weights with regard to the change in error. You can also think of a gradient as the slope of a function. Gradient Descent can be thought of climbing down to the bottom of a valley, instead of climbing up a hill.  This is because it is a minimization algorithm that minimizes a given function (Activation Function)."
74,75,NLP,What is exploding gradients?,"While training an RNN, if you see exponentially growing (very large) error gradients which accumulate and result in very large updates to neural network model weights during training, theyï¿½re known as exploding gradients. At an extreme, the values of weights can become so large as to overflow and result in NaN values. This has the effect of your model is unstable and unable to learn from your training data."
75,76,NLP, What is vanishing gradients?," While training an RNN, your slope can become either too small; this makes the training difficult. When the slope is too small, the problem is known as a Vanishing Gradient. It leads to long training times, poor performance, and low accuracy."
